target_num,target_is_prime,input_string,target_str,target_factor_list,pred_str,beam_idx,log_prob,n_target_factors,pred_same_as_target,pred_factor_list,n_pred_factors,product,correct_product,correct_factorization,num_prime_factors_pred,percent_prime_factors_pred
9,False,100,>10x10.,"[3, 3]",>10,0,-0.5469713807106018,2,False,[3],1,3,False,False,1.0,1.0
9,False,100,>10x10.,"[3, 3]",>10x10,1,-0.891119122505188,2,False,"[3, 3]",2,9,True,True,2.0,1.0
10,False,101,>2x12.,"[2, 5]",>2x12,0,-0.18365606665611267,2,False,"[2, 5]",2,10,True,True,2.0,1.0
10,False,101,>2x12.,"[2, 5]",>2x2x2x2x2,1,-2.5752696990966797,2,False,"[2, 2, 2, 2, 2]",5,32,False,False,5.0,1.0
15,False,120,>10x12.,"[3, 5]",>10x12,0,-0.004349404945969582,2,False,"[3, 5]",2,15,True,True,2.0,1.0
15,False,120,>10x12.,"[3, 5]",>2x2x2x2x10,1,-6.770100116729736,2,False,"[2, 2, 2, 2, 3]",5,48,False,False,5.0,1.0
19,True,201,>201.,[19],>201,0,-0.6268069744110107,1,True,[19],1,19,True,True,1.0,1.0
19,True,201,>201.,[19],>12x102,1,-1.0535589456558228,1,False,"[5, 11]",2,55,False,False,2.0,1.0
21,False,210,>10x21.,"[3, 7]",>10x21,0,-0.010950163938105106,2,False,"[3, 7]",2,21,True,True,2.0,1.0
21,False,210,>10x21.,"[3, 7]",>2x2x2x2x2x2,1,-5.33787727355957,2,False,"[2, 2, 2, 2, 2, 2]",6,64,False,False,6.0,1.0
22,False,211,>2x102.,"[2, 11]",>2x102,0,-0.513357937335968,2,False,"[2, 11]",2,22,True,True,2.0,1.0
22,False,211,>2x102.,"[2, 11]",>2111,1,-1.0753487348556519,2,False,[67],1,67,False,False,1.0,1.0
29,True,1002,>1002.,[29],>1002,0,-0.003360388334840536,1,True,[29],1,29,True,True,1.0,1.0
29,True,1002,>1002.,[29],>102,1,-6.104323863983154,1,False,[11],1,11,False,False,1.0,1.0
40,False,1111,>2x2x2x12.,"[2, 2, 2, 5]",>2x2012,0,-0.4489230811595917,4,False,"[2, 59]",2,118,False,False,2.0,1.0
40,False,1111,>2x2x2x12.,"[2, 2, 2, 5]",>2x2x2x12,1,-1.286243200302124,4,False,"[2, 2, 2, 5]",4,40,True,True,4.0,1.0
54,False,2000,>2x10x10x10.,"[2, 3, 3, 3]",>2x10x10x10,0,-0.0007724358583800495,4,False,"[2, 3, 3, 3]",4,54,True,True,4.0,1.0
54,False,2000,>2x10x10x10.,"[2, 3, 3, 3]",>2x10x10x10x10,1,-7.754995822906494,4,False,"[2, 3, 3, 3, 3]",5,162,False,False,5.0,1.0
68,False,2112,>2x2x122.,"[2, 2, 17]",>2x2x122,0,-0.5028013586997986,3,False,"[2, 2, 17]",3,68,True,True,3.0,1.0
68,False,2112,>2x2x122.,"[2, 2, 17]",>2112,1,-1.6536632776260376,3,True,[68],1,68,True,False,0.0,0.0
70,False,2121,>2x12x21.,"[2, 5, 7]",>2x12x21,0,-0.7500926852226257,3,False,"[2, 5, 7]",3,70,True,True,3.0,1.0
70,False,2121,>2x12x21.,"[2, 5, 7]",>21211,1,-0.7848982810974121,3,False,[211],1,211,False,False,1.0,1.0
